Epoch,Model,TN,TP,FP,FN,Loss,Time
0.2,rn_base,5723,7507,4277,2493,0.6603,798.6925
0.2,vit_base,7363,7129,2637,2871,0.5754,2421.6657
0.2,rn_lora,5577,7694,4423,2306,0.6372,989.5373
0.2,vit_lora,8108,7892,1892,2108,0.4838,9408.9383
0.4,rn_base,6457,7349,3543,2651,0.6367,747.9802
0.4,vit_base,7805,7707,2195,2293,0.5221,4995.0215
0.4,rn_lora,6864,7675,3136,2325,0.5731,966.449
0.4,vit_lora,8976,8949,1024,1051,0.3699,9285.9035
0.6,rn_base,6683,7235,3317,2765,0.6261,1156.3346
0.6,vit_base,8025,7785,1975,2215,0.5067,4887.1215
0.6,rn_lora,7236,7641,2764,2359,0.5535,1030.2012
0.6,vit_lora,9190,9124,810,876,0.3452,4511.0589
0.8,rn_base,6667,7354,3333,2646,0.6197,1157.0625
0.8,vit_base,8068,7886,1932,2114,0.4988,4915.616
0.8,rn_lora,7349,7752,2651,2248,0.545,1063.1062
0.8,vit_lora,9314,9213,686,787,0.331,9372.3096
1,rn_base,6579,7250,3421,2750,0.6191,730.7814
1,vit_base,8040,7864,1960,2136,0.4962,4993.3816
1,rn_lora,7368,7710,2632,2290,0.5431,1022.7084
1,vit_lora,9401,9276,599,724,0.3214,9417.1388
1.2,rn_base,6677,7235,3323,2765,0.6149,1078.3939
1.2,vit_base,8171,7950,1829,2050,0.4864,2605.3453
1.2,rn_lora,7506,7755,2494,2245,0.5312,1018.7512
1.2,vit_lora,9414,9332,586,668,0.3151,9403.2221
1.4,rn_base,6373,7378,3263,2662,0.6095,656.4591
1.4,vit_base,8222,7989,1778,2011,0.4825,2368.7822
1.4,rn_lora,7673,7815,2327,2185,0.5233,1147.6126
1.4,vit_lora,9521,9311,479,689,0.307,9430.0177
1.6,rn_base,6904,7175,3096,2825,0.6096,1040.44
1.6,vit_base,8177,7938,1823,2062,0.4824,4866.2011
1.6,rn_lora,7764,7726,2236,2274,0.5232,1120.6125
1.6,vit_lora,9510,9355,490,645,0.3066,9397.2679
1.8,rn_base,6681,7361,3319,2639,0.6061,708.5946
1.8,vit_base,8176,8051,1824,1949,0.48,5013.4131
1.8,rn_lora,7739,7868,2261,2131,0.5188,1211.0107
1.8,vit_lora,9506,9403,494,597,0.3011,4528.7753
2,rn_base,6803,7252,3197,2748,0.6078,1020.7518
2,vit_base,8243,7986,1757,2014,0.4791,2396.5354
2,rn_lora,7729,7810,2271,2190,0.5181,1096.6676
2,vit_lora,9520,9384,480,616,0.3025,9366.9957
2.2,rn_base,6834,7255,3166,2745,0.6047,1156.774
2.2,vit_base,8259,8048,1741,1952,0.4749,2375.4332
2.2,rn_lora,7877,7914,2123,2086,0.505,1086.969
2.2,vit_lora,9560,9386,440,614,0.2986,4505.261
2.4,rn_base,6874,7407,3126,2593,0.6,632.5216
2.4,vit_base,8268,8052,1732,1948,0.4713,2439.1042
2.4,rn_lora,7865,7956,2135,2044,0.5038,1071.6468
2.4,vit_lora,9598,9412,402,588,0.2934,6453.5985
2.6,rn_base,6833,7250,3167,2750,0.6027,763.5105
2.6,vit_base,8267,8103,1733,1897,0.4724,2786.9529
2.6,rn_lora,7924,7871,2076,2129,0.506,1058.5128
2.6,vit_lora,9581,9418,419,582,0.2935,9415.2608
2.8,rn_base,6845,7374,3155,2626,0.5985,636.652
2.8,vit_base,8313,8057,1687,1943,0.4705,2776.3144
2.8,rn_lora,7913,7950,2087,2050,0.4992,1177.2827
2.8,vit_lora,9550,9424,450,576,0.2932,9296.3069
3,rn_base,6767,7366,3233,2634,0.6015,1015.4074
3,vit_base,8264,8091,1736,1909,0.4716,4977.9704
3,rn_lora,7944,7988,2056,2012,0.4999,1115.0998
3,vit_lora,9587,9445,413,555,0.2887,4336.8709
3.2,rn_base,6800,7320,3200,2680,0.6001,1119.7963
3.2,vit_base,8254,8116,1746,1884,0.469,2381.05
3.2,rn_lora,7958,7904,2042,2096,0.4977,1047.6351
3.2,vit_lora,9607,9414,393,586,0.29,4389.4357
3.4,rn_base,6851,7350,3149,2650,0.5985,1027.0274
3.4,vit_base,8417,8101,1583,1899,0.4633,4914.8626
3.4,rn_lora,7930,7987,2070,2013,0.4985,1041.8308
3.4,vit_lora,9636,9474,364,526,0.2835,9425.4241
3.6,rn_base,6859,7293,3141,2707,0.5988,1150.4448
3.6,vit_base,8334,8167,1666,1833,0.4651,4049.2902
3.6,rn_lora,7982,7930,2018,2070,0.4975,1018.5717
3.6,vit_lora,9609,9447,391,553,0.287,9355.3795
3.8,rn_base,6923,7319,3077,2681,0.5958,1020.4751
3.8,vit_base,8364,8098,1636,1902,0.4665,4985.6525
3.8,rn_lora,7991,7992,2009,2008,0.4902,1037.1151
3.8,vit_lora,9583,9473,417,527,0.2839,9379.2361
4,rn_base,6812,7213,3188,2787,0.6007,647.2911
4,vit_base,8297,8117,1703,1883,0.4681,2754.8581
4,rn_lora,8004,7943,1996,2057,0.4957,1045.4355
4,vit_lora,9613,9506,387,494,0.2801,9397.0227
4.2,rn_base,6839,7216,3164,2781,0.5995,921.0411
4.2,vit_base,8358,8098,1687,1857,0.4626,4759.3596
4.2,rn_lora,8050,7964,1950,2036,0.4902,1030.9941
4.2,vit_lora,9626,9505,376,493,0.2783,9193.3786
4.4,rn_base,6907,7386,3093,2614,0.5937,622.2007
4.4,vit_base,8410,8088,1590,1912,0.4614,2413.3431
4.4,rn_lora,8053,8006,1947,1994,0.4904,1049.3208
4.4,vit_lora,9636,9498,364,502,0.2775,4496.2723
4.6,rn_base,6950,7277,3050,2723,0.5967,708.3156
4.6,vit_base,8317,8164,1683,1836,0.4641,2404.2864
4.6,rn_lora,8072,8052,1928,1948,0.4866,1193.0054
4.6,vit_lora,9604,9512,396,488,0.2783,4358.1063
4.8,rn_base,6926,7389,3074,2611,0.5933,715.9978
4.8,vit_base,8365,8165,1635,1835,0.4626,2407.6278
4.8,rn_lora,8085,8057,1915,1943,0.4861,1061.9779
4.8,vit_lora,9599,9550,401,450,0.2765,6228.2943
5,rn_base,6822,7274,3178,2726,0.6001,1057.5651
5,vit_base,8334,8152,1666,1848,0.4653,5048.2755
5,rn_lora,8034,7993,1966,2007,0.4916,1165.8841
5,vit_lora,9603,9515,397,485,0.276,4364.5017
